title,district,estate,unit_info,price,price_raw,build_area,usable_area,rooms,facing,property_type,decoration,views,features,agent,posted_time,url,year_built,yun,estate_facing
20/6*業主割愛蝕讓 收租自住佳宜*歡迎約睇,旺角,利晴灣23,利．晴灣23 中層 A室,430,售 $430 萬元,,276,,子山午向,私人屋苑,豪華裝修,開揚景,,美聯物業,3分鐘前,https://www.28hse.com/buy/apartment/property-3899396,,,子山午向
(凱樂智選)兩房放盤!可以約睇!,荃灣,尚翠苑,B座 高層 7室,483,售 $483 萬元,,441,2房,子山午向,居屋,雅緻裝修,開揚景,,凱樂物業有限公司,11分鐘前,https://www.28hse.com/buy/apartment/property-3899374,2017,八運,子山午向
**3房2厠 **罕有性價比高單位 *用家至愛！,天水圍,嘉湖山莊,第5期(麗湖居) 10座 中層,498,售 $498 萬元,,630,3房,乾山巽向,私人屋苑,基本裝修,園景,,中原地產,12分鐘前,https://www.28hse.com/buy/apartment/property-3899372,1992,七運,乾山巽向
【中原主區】優皮至愛！靚裝西南高層海景,深井(荃灣),豪景花園,第二期 第二期 9座 (雅仕閣) 高層 C室,600,售 $600 萬元,,715,2房,子山午向,私人屋苑,雅緻裝修,,,中原地產,13分鐘前,https://www.28hse.com/buy/apartment/property-3899371,,,子山午向
激筍三房推介 業主割愛 還價即成,奧運,維港灣,7座 高層 F室,2050,"售 $2,050 萬元",,904,3房,子山午向,私人屋苑,,開揚景,,美聯物業代理有限公司,13分鐘前,https://www.28hse.com/buy/apartment/property-3899369,2000,七運,子山午向
新都城1期兩房上車盤 ，有匙引看，有誠意可以倾價。,寶琳,新都城,1期 第一期 3座 中層 B室,620,售 $620 萬元,,364,2房,午山子向,私人屋苑,雅緻裝修,,,美聯物業代理有限公司,16分鐘前,https://www.28hse.com/buy/apartment/property-3899363,1996,七運,午山子向
珀麗灣 ·東南開揚園景 投資自用之選（香港置業好推介）歡迎查詢 Ray Lam,馬灣,珀麗灣,第3期 19座 中層 E室,520,售 $520 萬元,,490,2房,乾山巽向,私人屋苑,,園景,,香港置業,17分鐘前,https://www.28hse.com/buy/apartment/property-3899361,,,乾山巽向
筍 嘉湖兩房價錢買三房 近西鐵及輕鐵 交通方便,天水圍,嘉湖山莊,第1期(樂湖居) 3座 低層,450,售 $450 萬元,,548,3房,乾山巽向,私人屋苑,,,近地鐵站,中原地產,24分鐘前,https://www.28hse.com/buy/apartment/property-3899344,1992,七運,乾山巽向
青怡花園中層開揚兩房 雅緻企理裝修 可約睇 價錢可議,青衣,青怡花園,1座 中層 A室,500,售 $500 萬元,,343,2房,子山午向,私人屋苑,,園景|開揚景,有會所|近地鐵站|近大型商場|優質校網,利嘉閣地產有限公司,31分鐘前,https://www.28hse.com/buy/apartment/property-3899323,1986,,子山午向
粉嶺 牽晴間 | 11座 中層 C室,粉嶺,牽晴間,11座 中層 C室,498,售 $498 萬元,,401,2房,乾山巽向,私人屋苑,,,,中原地產,39分鐘前,https://www.28hse.com/buy/apartment/property-3899302,,,乾山巽向
明翹匯底層開揚池景一房 清幽山景 可約睇,青衣,明翹匯,2座 低層 G室,468,售 $468 萬元,,299,1房,卯山酉向,私人屋苑,,山景|園景|泳池景,有會所|近大型商場|有露台,利嘉閣地產有限公司,40分鐘前,https://www.28hse.com/buy/apartment/property-3899297,,,卯山酉向
大圍 名城 | 1期 5座 高層,大圍,名城,1期 5座 高層,1290,"售 $1,290 萬元",,679,3房,卯山酉向,私人屋苑,,,,利嘉閣地產有限公司,42分鐘前,https://www.28hse.com/buy/apartment/property-3899294,2011,,卯山酉向
海欣花園超筍高層開揚兩房 企理裝修 即約即睇,青衣,海欣花園,3座 高層 H室,678,售 $678 萬元,,507,2房,子山午向,私人屋苑,雅緻裝修,開揚景|樓景,有會所|近地鐵站|近大型商場|優質校網,利嘉閣地產有限公司,47分鐘前,https://www.28hse.com/buy/apartment/property-3899278,2000,,子山午向
【可試$760萬】獨家盤【有票盡傾】,荔枝角,宇晴軒,7座 中層 E室,778,售 $778 萬元,,445,2房,午山子向,私人屋苑,,山景,,美聯物業代理有限公司,50分鐘前,https://www.28hse.com/buy/apartment/property-3899269,2004,,午山子向
"未補地價 3 房 , 1 浴室 向東 居屋 望開揚景 豪華裝修",南昌,凱德苑,中層 4室,680,售 $680 萬元,,522,3房,子山午向,居屋,豪華裝修,開揚景,,凱樂物業有限公司,53分鐘前,https://www.28hse.com/buy/apartment/property-3899264,,,子山午向
天水圍 嘉湖山莊 | 第1期(樂湖居) 3座 高層 F室,天水圍,嘉湖山莊,第1期(樂湖居) 3座 高層 F室,428,售 $428 萬元,,449,2房,乾山巽向,私人屋苑,,山景|開揚景|市景,獨家盤,美联物业,55分鐘前,https://www.28hse.com/buy/apartment/property-3899258,1992,七運,乾山巽向
"2 房 , 1 浴室 向西 私人屋苑 新鴻基",荔枝角,宇晴軒,3座 高層,850,售 $850 萬元,,441,2房,卯山酉向,私人屋苑,,,,利嘉閣地產有限公司,1小時前,https://www.28hse.com/buy/apartment/property-3899245,2004,,卯山酉向
[ 附雅緻裝修+約睇] 港鐵旁上車首選！嘉輝花園 高層開揚一房 業主換樓誠售,堅尼地城,嘉輝花園,C座 高層,488,售 $488 萬元,,281,1房,乾山巽向,私人屋苑,雅緻裝修,開揚景|市景,,智高物業,1小時前,https://www.28hse.com/buy/apartment/property-3899228,,,乾山巽向
真盤*基座商場*開揚3房，地鐵站生活便利 *真盤皇*JACKIE WONG小姐,將軍澳,將軍澳中心,第一期 8座 低層 A室,880,售 $880 萬元,,541,3房,卯山酉向,私人屋苑,,,,中原地產代理有限公司,1小時前,https://www.28hse.com/buy/apartment/property-3899218,2001,七運,卯山酉向
元朗 蝶翠峰 | 第五期(尚悅‧嶺) 1座 低層 A室,元朗,蝶翠峰,第五期(尚悅‧嶺) 1座 低層 A室,435,售 $435 萬元,,378,2房,卯山酉向,私人屋苑,雅緻裝修,,,美聯物業代理有限公司,1小時前,https://www.28hse.com/buy/apartment/property-3899207,2007,八運,卯山酉向
3 房 向西北 私人屋苑 新世界,屯門,天生樓,中層 D室,850,售 $850 萬元,,745,3房,卯山酉向,私人屋苑,,,,美聯物業,1小時前,https://www.28hse.com/buy/apartment/property-3899199,,,卯山酉向
真盤源 Angel推介見票有驚喜驚喜驚喜，驚喜，驚喜落成四年新樓望住啟德河,啟德,Monaco,第1期 2B座 中層 B室,1250,"售 $1,250 萬元",,480,2房,午山子向,私人屋苑,雅緻裝修,,,利嘉閣地產,1小時前,https://www.28hse.com/buy/apartment/property-3899184,,,午山子向
[日訊物業海之戀佣金回贈計劃] 獨家只得我地有 超大三房套,荃灣,海之戀,‧愛炫美 1座 低層,1500,"售 $1,500 萬元",,807,3房,子山午向,私人屋苑,雅緻裝修,樓景|海景,有會所|近地鐵站|有露台,日訊物業代理有限公司,2小時前,https://www.28hse.com/buy/apartment/property-3899175,2018,,子山午向
(業主底價$860萬）東南海景樓 靚仔真實盤 可以約到睇樓，不是凶宅，超底水荀盤,將軍澳,將軍澳中心,第二期 2座 中層 C室,957,售 $957 萬元,,677,3房,卯山酉向,私人屋苑,,,,中原地產,2小時前,https://www.28hse.com/buy/apartment/property-3899171,2001,七運,卯山酉向
罕有放盤 新鴻基高級豪宅天鑄 34校網,何文田,天鑄,(第1期) 6座 低層 A室,6300,"售 $6,300 萬元",,2018,4房,卯山酉向,私人屋苑,,,,中原地產,2小時前,https://www.28hse.com/buy/apartment/property-3899168,,,卯山酉向
元朗 世宙 | 第3座 高層 D室,元朗,世宙,第3座 高層 D室,700,售 $700 萬元,,426,2房,卯山酉向,私人屋苑,雅緻裝修,開揚景,VR,美聯物業代理有限公司,2小時前,https://www.28hse.com/buy/apartment/property-3899147,2016,八運,卯山酉向
元朗 The YOHO Hub | C期 8座 高層 H室,元朗,The YOHO Hub,C期 8座 高層 H室,1880,"售 $1,880 萬元",,901,4房,子山午向,私人屋苑,,,VR,美聯物業代理有限公司,2小時前,https://www.28hse.com/buy/apartment/property-3899136,,,子山午向
大埔 天鑽 | 8座 低層 J室,大埔,天鑽,8座 低層 J室,468,售 $468 萬元,,373,1房,乾山巽向,私人屋苑,,,,中原地產代理有限公司,2小時前,https://www.28hse.com/buy/apartment/property-3899111,,,乾山巽向
田邦置業[荃威分行]罕有特色連平台 實用率高 市場罕有,荃灣,荃威花園,K座 低層 3室,368,售 $368 萬元,,480,2房,卯山酉向,私人屋苑,基本裝修,山景,優質校網|連平台,田邦置業代理有限公司,2小時前,https://www.28hse.com/buy/apartment/property-3899107,1978,未知,卯山酉向
田邦置業[荃威分行]兩房間格 向南園景 靚裝修 即買即住 環境清幽 實用率高,荃灣,荃威花園,K座 低層 5室,428,售 $428 萬元,,533,2房,卯山酉向,私人屋苑,雅緻裝修,園景|開揚景,,田邦置業代理有限公司,2小時前,https://www.28hse.com/buy/apartment/property-3899098,1978,未知,卯山酉向
$1050萬精選3房套連工人房 實盤約睇,馬鞍山,天宇海,屋苑 6B座 高層 B室,1080,"售 $1,080 萬元",,752,3房,子山午向,私人屋苑,,,,中原地產代理有限公司,2小時前,https://www.28hse.com/buy/apartment/property-3899091,2011,,子山午向
有票可試630482尺精裝邊到搵,元朗,Yoho Midtown,M1座 低層 F室,660,售 $660 萬元,,482,2房,午山子向,私人屋苑,雅緻裝修,園景|樓景,,利嘉閣,2小時前,https://www.28hse.com/buy/apartment/property-3899071,,,午山子向
田邦置業[荃威分行]✚優質鳳凰樓層✚業主割愛✚東南極開揚城市景✚靚裝修,荃灣,荃德花園,C座 高層,390,售 $390 萬元,,306,2房,乾山巽向,私人屋苑,雅緻裝修,開揚景|市景,,田邦置業代理有限公司,2小時前,https://www.28hse.com/buy/apartment/property-3899050,,,乾山巽向
[日訊物業好多盤] 靚裝必走三房 開揚光猛 約我地即睇,荃灣,海濱花園,海寧閣 (17座) 中層,600,售 $600 萬元,,559,3房,子山午向,私人屋苑,雅緻裝修,開揚景|樓景,有會所|近地鐵站|近大型商場,日訊物業代理有限公司,2小時前,https://www.28hse.com/buy/apartment/property-3899048,,,子山午向
美聯KC推介 獨家靚裝四房 海景優質戶,青衣,盈翠半島,2座 中層 C室,1480,"售 $1,480 萬元",,756,3房,乾山巽向,私人屋苑,雅緻裝修,開揚景|海景,,美聯物業,2小時前,https://www.28hse.com/buy/apartment/property-3899043,2000,,乾山巽向
低水必入!!!2房+開放式廚房，實用靚則,白石角,雲滙,第二期 9座 低層 A5室,650,售 $650 萬元,,482,2房,子山午向,私人屋苑,,園景,有會所|有露台|VR,中原地產代理限公司,2小時前,https://www.28hse.com/buy/apartment/property-3899025,,,子山午向
西九龍大型屋苑，大型會所，步行4分鍾到地鐵站,長沙灣,Belgravia Place,1期 1A座 中層 19室,530,售 $530 萬元,,269,1房,子山午向,私人屋苑,,,,利嘉閣地產有限公司,3小時前,https://www.28hse.com/buy/apartment/property-3899016,,,子山午向
※保證真盤！九運地區~丁財兩旺※,馬鞍山,迎海,第二期(‧星灣) 第19座 高層 A室,2275,"售 $2,275 萬元",,1379,4房,子山午向,私人屋苑,,海景,,世紀21奇豐新港城,3小時前,https://www.28hse.com/buy/apartment/property-3899004,2013,,子山午向
【東涌物業Walter】東涌最強2房_未睇過必須睇_包有驚喜,東涌,昇薈,8座 低層,748,售 $748 萬元,,669,2房,子山午向,私人屋苑,雅緻裝修,,有會所|有露台,東涌物業有限公司,3小時前,https://www.28hse.com/buy/apartment/property-3726181,2016,,子山午向
青衣 青怡花園 | 1座 中層 A室,青衣,青怡花園,1座 中層 A室,500,售 $500 萬元,,343,2房,子山午向,私人屋苑,基本裝修,開揚景|樓景,,利嘉閣地產有限公司,3小時前,https://www.28hse.com/buy/apartment/property-3898995,1986,,子山午向
【高層820萬筍盤】【巨房巨廳】【有票盡傾】,荔枝角,碧海藍天,5座 高層,838,售 $838 萬元,,510,2房,午山子向,私人屋苑,,,,美聯物業代理有限公司,3小時前,https://www.28hse.com/buy/apartment/property-3898985,,,午山子向
（實盤推介）最筍3房！高層海景！,荃灣,海灣花園,2座 高層 E室,748,售 $748 萬元,,576,3房,卯山酉向,私人屋苑,雅緻裝修,開揚景|海景,,美聯物業,3小時前,https://www.28hse.com/buy/apartment/property-3898981,1990,七運,卯山酉向
宋皇臺地鐵站大型屋苑，入埸兩房梗廚，歡迎查詢,土瓜灣,傲雲峰,第一座 高層 H室,875,售 $875 萬元,,479,2房,卯山酉向,私人屋苑,,山景,,利嘉閣地產,3小時前,https://www.28hse.com/buy/apartment/property-3898967,,,卯山酉向
《香港置業》海景露台三房套 升級之選 Jimmy,馬灣,珀麗灣,第3期 22座 中層 A室,810,售 $810 萬元,,709,3房,卯山酉向,私人屋苑,,開揚景|海景,,香港置業,3小時前,https://www.28hse.com/buy/apartment/property-3898964,,,卯山酉向
呎價激平!!!3房套+工人套房，內園寧靜,白石角,逸瓏灣,I 20座 低層 C室,1140,"售 $1,140 萬元",,907,3房,乾山巽向,私人屋苑,,園景,有會所|有露台|VR,中原地產代理有限公司,3小時前,https://www.28hse.com/buy/apartment/property-3898959,2015,,乾山巽向
《開揚景觀，實用兩房，廳大房大，光猛對流》,荔枝角,碧海藍天,5座 高層 D室,838,售 $838 萬元,,510,2房,午山子向,私人屋苑,基本裝修,市景,有會所|近地鐵站|近大型商場|優質校網,中原地產-碧海藍天分行,3小時前,https://www.28hse.com/buy/apartment/property-3898945,,,午山子向
【獨家盤】東堤灣畔大兩房｜人冇我有．直到業主,東涌,東堤灣畔,5座 低層,710,售 $710 萬元,,607,2房,乾山巽向,私人屋苑,,,獨家盤,美聯物業,3小時前,https://www.28hse.com/buy/apartment/property-3898943,1999,,乾山巽向
啟德 柏蔚森 | III 第1座 高層 D室,啟德,柏蔚森,III 第1座 高層 D室,598,售 $598 萬元,,263,1房,子山午向,私人屋苑,雅緻裝修,海景,,利嘉閣地產,3小時前,https://www.28hse.com/buy/apartment/property-3898937,,,子山午向
激筍正南煙花海景推介 還價即成 把握機會,奧運,一號銀海,5座 高層 A室,2788,"售 $2,788 萬元",,968,3房,子山午向,私人屋苑,,海景,,美聯物業代理有限公司,3小時前,https://www.28hse.com/buy/apartment/property-3898911,2006,八運,子山午向
荔枝角地鐵上蓋上新鸿基发展商荀盘昇悅居大两房則王介绍，即call况小姐Jenny,荔枝角,昇悅居,7座 低層 F室,868,售 $868 萬元,,517,2房,子山午向,私人屋苑,,,,美聯物業,3小時前,https://www.28hse.com/buy/apartment/property-3898895,2003,七運,子山午向
馬鞍山 銀湖天峰 | 6座 高層 F室,馬鞍山,銀湖天峰,6座 高層 F室,1060,"售 $1,060 萬元",,615,2房,子山午向,私人屋苑,,山景|園景,有會所|近地鐵站|近大型商場|有露台,利嘉閣地產有限公司,3小時前,https://www.28hse.com/buy/apartment/property-3898888,2009,,子山午向
罕有大平台放賣 滄海遺珠 只此一間,九龍站,擎天半島,2座 低層,2800,"售 $2,800 萬元",,1126,3房,午山子向,私人屋苑,,開揚景|市景|海景,,領高地產代理有限公司,4小時前,https://www.28hse.com/buy/apartment/property-3848398,2003,,午山子向
青衣 灝景灣 | 2座 低層 B室,青衣,灝景灣,2座 低層 B室,800,售 $800 萬元,,519,2房,丑山未向,私人屋苑,基本裝修,園景|泳池景,,利嘉閣地產有限公司,4小時前,https://www.28hse.com/buy/apartment/property-3898875,1998,七運,丑山未向
[真實盤源 有樓睇］2房鄰近屯門西鐵站,屯門,大興花園,第一期 3座 中層 A室,364,售 $364 萬元 +,,428,2房,卯山酉向,私人屋苑,豪華裝修,開揚景,獨家盤,中原地產,4小時前,https://www.28hse.com/buy/apartment/property-3898861,1992,,卯山酉向
業主套現換樓，低於銀行估價出售，快者得,天水圍,嘉湖山莊,第5期(麗湖居) 10座 中層 B室,498,售 $498 萬元,,630,3房,乾山巽向,私人屋苑,,,,中原地產代理有限公司,4小時前,https://www.28hse.com/buy/apartment/property-3898852,1992,七運,乾山巽向
東南全海景三房！區內樓皇！自住必睇！,荃灣,麗城花園,第三期 7座 中層 E室,880,售 $880 萬元,,728,3房,午山子向,私人屋苑,基本裝修,山景|開揚景|海景,,利嘉閣地產有限公司,4小時前,https://www.28hse.com/buy/apartment/property-3898845,1988,七運,午山子向
碧海蓝天直通南昌站，高层西南即睇楼，即call 况小姐Jenny,荔枝角,碧海藍天,6座 高層 F室,890,售 $890 萬元,,499,2房,子山午向,私人屋苑,,,,美聯物業,4小時前,https://www.28hse.com/buy/apartment/property-3898841,,,子山午向
兆康站居屋皇 企理裝修 即買即住,屯門,兆康苑,兆偉閣(BLOCK E) 低層 5室,296,售 $296 萬元,,476,2房,卯山酉向,居屋,,,,中原地產代理有限公司,4小時前,https://www.28hse.com/buy/apartment/property-3898838,,,卯山酉向
"極高層優質, 前後對流, 遠望海景, 極筍!!!",火炭,碧霞花園,萊茵閣 (4座) 高層 A室,1298,"售 $1,298 萬元",,1296,3房,午山子向,私人屋苑,,開揚景,,利嘉閣地產有限公司,4小時前,https://www.28hse.com/buy/apartment/property-3898826,,,午山子向
沙田 沙田第一城 | 5期 52座 中層 E室,沙田,沙田第一城,5期 52座 中層 E室,490,售 $490 萬元,,284,2房,乾山巽向,私人屋苑,,,,中原地產,4小時前,https://www.28hse.com/buy/apartment/property-3898807,1983,未知,乾山巽向
筲箕灣 愛蝶灣 | 10座 高層,筲箕灣,愛蝶灣,10座 高層,600,售 $600 萬元,,484,2房,子山午向,居屋,,,,宏智物業,4小時前,https://www.28hse.com/buy/apartment/property-3898791,2001,,子山午向
"未補地價 2 房 , 1 浴室 向南 居屋",筲箕灣,愛蝶灣,5座 高層,580,售 $580 萬元,,484,2房,子山午向,居屋,,,,宏智物業,4小時前,https://www.28hse.com/buy/apartment/property-3898785,2001,,子山午向
【880萬盡試】最筍三房【可即睇樓】,荔枝角,碧海藍天,6座 低層 A室,935,售 $935 萬元,,577,3房,午山子向,私人屋苑,,,,美聯物業代理有限公司,5小時前,https://www.28hse.com/buy/apartment/property-3898738,,,午山子向
《匙盤》 市場筍盤！啱價即賣…. 馬上約睇,美孚,曼克頓山,6座 中層 C室,1100,"售 $1,100 萬元",,558,2房,午山子向,私人屋苑,基本裝修,山景|開揚景|樓景|市景,,中原地產代理有限公司,5小時前,https://www.28hse.com/buy/apartment/property-3898728,,,午山子向
屯門 瓏門 | 第二期 第7座 中層 A室,屯門,瓏門,第二期 第7座 中層 A室,760,售 $760 萬元,,510,2房,卯山酉向,私人屋苑,雅緻裝修,開揚景,,美聯物業,5小時前,https://www.28hse.com/buy/apartment/property-3898725,2013,八運,卯山酉向
環宇海灣 8座中層2房 上車精選,荃灣,環宇海灣,第8座 中層 D室,688,售 $688 萬元,,482,2房,子山午向,私人屋苑,,,,美聯物業,5小時前,https://www.28hse.com/buy/apartment/property-3898719,,,子山午向
《急讓》 筍爆!!！…. 快走！有票有驚喜,荔枝角,碧海藍天,3座 中層 A室,950,售 $950 萬元,,588,3房,午山子向,私人屋苑,基本裝修,園景|開揚景|樓景|市景,,中原地產代理有限公司,5小時前,https://www.28hse.com/buy/apartment/property-3898713,,,午山子向
【$980萬再傾！正南+大型屋苑●市場喝求！有票再有驚喜】,荔枝角,宇晴軒,7座 中層 A室,999,售 $999 萬元,,554,3房,子山午向,私人屋苑,豪華裝修,開揚景|海景,有會所|近地鐵站|有露台,美聯物業代理有限公司,5小時前,https://www.28hse.com/buy/apartment/property-3898710,2004,,子山午向
Park Yoho 分行「 最熟業主 」650萬 特色平台單位 (另有其他荀盤),元朗,峻巒,1C(PARK YOHO SICILIA) 1A座 低層,655,售 $655 萬元,,464,2房,午山子向,私人屋苑,雅緻裝修,園景|開揚景,有會所|連平台,利嘉閣地產,5小時前,https://www.28hse.com/buy/apartment/property-3898701,,,午山子向
【$768萬再傾！靚靚泳池景！】【有票有驚喜】,荔枝角,泓景臺,7座 低層 G室,788,售 $788 萬元,,473,2房,子山午向,私人屋苑,雅緻裝修,園景,有會所|近地鐵站|近大型商場|優質校網,美聯物業代理有限公司,5小時前,https://www.28hse.com/buy/apartment/property-3898698,,,子山午向
《正南+大型屋苑》 急讓！套現….睇啱有驚喜,荔枝角,宇晴軒,7座 低層 A室,1060,"售 $1,060 萬元",,554,3房,子山午向,私人屋苑,基本裝修,園景|開揚景|樓景|市景,,中原地產代理有限公司,5小時前,https://www.28hse.com/buy/apartment/property-3898691,2004,,子山午向
激筍1房!! 448萬!! 睇岩即再減,深水埗,海峯,海峰 中層,498,售 $498 萬元,,306,1房,子山午向,私人屋苑,,,,美聯物業代理有限公司,5小時前,https://www.28hse.com/buy/apartment/property-3898686,,,子山午向
【808萬】【實用兩房】【球場靚景】,長沙灣,喜韻,1座 高層 C室,843,售 $843 萬元,,506,2房,子山午向,私人屋苑,,,,美聯物業代理有限公司,5小時前,https://www.28hse.com/buy/apartment/property-3898685,,,子山午向
【$1148萬再傾！靚靚泳池景！】【有票有驚喜】,荔枝角,泓景臺,3座 低層 G室,1148,"售 $1,148 萬元",,637,3房,子山午向,私人屋苑,豪華裝修,泳池景,有會所|近地鐵站|近大型商場|優質校網,美聯物業代理有限公司,5小時前,https://www.28hse.com/buy/apartment/property-3898683,,,子山午向
上水 御皇庭 | 第三座 中層 H室,上水,御皇庭,第三座 中層 H室,442,售 $442 萬元,,376,2房,卯山酉向,私人屋苑,,,,美聯物業代理有限公司,5小時前,https://www.28hse.com/buy/apartment/property-3898681,,,卯山酉向
沙田站 358呎兩房 東南 有匙即睇 收租17000起，襯業主未反價，快來睇,沙田,偉華中心,4座 中層 E室,530,售 $530 萬元,,358,2房,乾山巽向,私人屋苑,,,,中原地產代理有限公司,5小時前,https://www.28hse.com/buy/apartment/property-3898673,1985,七運,乾山巽向
[VR看房] 米埔海景 全城最平,天水圍,慧景軒,1座 中層 H室,840,售 $840 萬元,,842,3房,午山子向,私人屋苑,,,VR,美联物业,5小時前,https://www.28hse.com/buy/apartment/property-3898663,2004,,午山子向
《抵住3房》 套現！…. 馬上約睇！ 啱價即賣,荔枝角,泓景臺,3座 低層 G室,1150,"售 $1,150 萬元",,637,3房,子山午向,私人屋苑,雅緻裝修,園景|開揚景|樓景|泳池景,,中原地產代理有限公司,5小時前,https://www.28hse.com/buy/apartment/property-3898662,,,子山午向
《實盤》急讓！內園寧靜！要錢唔要貨….. 馬上約睇！有票可傾,荔枝角,泓景臺,6座 中層 G室,828,售 $828 萬元,,473,2房,子山午向,私人屋苑,,,,中原地產代理有限公司,5小時前,https://www.28hse.com/buy/apartment/property-3898652,,,子山午向
有票有驚喜 Call 66O22228 石生,深水埗,海峯,海峰 高層 E室,498,售 $498 萬元,412,,1房,乾山巽向,私人屋苑,,開揚景,近地鐵站|近大型商場,中原地產代理有限公司,5小時前,https://www.28hse.com/buy/apartment/property-3898635,,,乾山巽向
荔枝角 碧海藍天 | 3座 低層,荔枝角,碧海藍天,3座 低層,838,售 $838 萬元,,494,2房,子山午向,私人屋苑,,,,美聯物業代理有限公司,5小時前,https://www.28hse.com/buy/apartment/property-3898634,,,子山午向
"大膽還價,包有驚喜~可試$270 萬",粉嶺,One Innovale,Archway A座 低層,270,售 $270 萬元,,208,,乾山巽向,私人屋苑,,,,美聯物業,6小時前,https://www.28hse.com/buy/apartment/property-3898629,2021,八運,乾山巽向
《獨家》市場最平！急賣！快走….. 有匙可睇！,荔枝角,碧海藍天,6座 中層 F室,868,售 $868 萬元,,494,2房,子山午向,私人屋苑,基本裝修,園景|開揚景|樓景|市景,,中原地產代理有限公司,6小時前,https://www.28hse.com/buy/apartment/property-3898623,,,子山午向
JL居二最愛•高層勁開楊•有露台•把握機會,青衣,綠悠雅苑,第3座 中層 H室,638,售 $638 萬元,,535,2房,子山午向,居屋,,,,利嘉閣地產有限公司,6小時前,https://www.28hse.com/buy/apartment/property-3898607,,,子山午向
低密度半新屋苑，租買NO. ONE！,粉嶺,One Innovale,Cabanna E座 高層,280,售 $280 萬元,,186,開放式,乾山巽向,私人屋苑,雅緻裝修,泳池景,,利嘉閣地產有限公司,6小時前,https://www.28hse.com/buy/apartment/property-3898602,2021,八運,乾山巽向
真盤！謝絕假盤！罕有連大平台215呎 約睇,元朗,峻巒,1C(PARK YOHO SICILIA) 1A座 低層 B室,658,售 $658 萬元,,464,2房,午山子向,私人屋苑,基本裝修,開揚景,有會所|近地鐵站|近大型商場|連平台,中原地產代理限公司,6小時前,https://www.28hse.com/buy/apartment/property-3898599,,,午山子向
"業主急走,有票即收, 用心為你傾筍傾",粉嶺,欣盛苑,欣悅閣 (D座) 中層,375,售 $375 萬元,,554,2房,子山午向,居屋,,,,美聯物業,6小時前,https://www.28hse.com/buy/apartment/property-3898590,,,子山午向
"試800萬>靚裝割愛求售, 見票即簽,",荔枝角,宇晴軒,5座 中層 E室,860,售 $860 萬元,,462,2房,子山午向,私人屋苑,雅緻裝修,,,利嘉閣地產有限公司,6小時前,https://www.28hse.com/buy/apartment/property-3898588,2004,,子山午向
新放盤 沙田中心兩房 業主有心賣，有票盡傾 歡迎查詢約睇,沙田,沙田中心,佳寧 中層 B室,550,售 $550 萬元,,347,2房,午山子向,私人屋苑,,,,中原地產代理有限公司,6小時前,https://www.28hse.com/buy/apartment/property-3898577,,,午山子向
