title,district,estate,unit_info,price,price_raw,build_area,usable_area,rooms,facing,property_type,decoration,views,features,agent,posted_time,url,year_built,yun,estate_facing
上水 翠麗花園 | 2座 地下 B室,上水,翠麗花園,2座 地下 B室,400,售 $400 萬元,,591,3房,乾山巽向,居屋,,,,美聯物業代理有限公司,6小時前,https://www.28hse.com/buy/apartment/property-3898551,,,乾山巽向
稀有3房則🦾還價即成🩵有匙引看🩵,粉嶺,欣盛苑,欣喜閣 (C座) 低層 6室,450,售 $450 萬元,,554,3房,午山子向,居屋,,,,利嘉閣地產有限公司,7小時前,https://www.28hse.com/buy/apartment/property-3898508,,,午山子向
荃灣 麗城花園 | 第二期 3座 高層 F室,荃灣,麗城花園,第二期 3座 高層 F室,655,售 $655 萬元,,572,3房,午山子向,私人屋苑,,,,利嘉閣地產有限公司,7小時前,https://www.28hse.com/buy/apartment/property-3898483,1988,七運,午山子向
《市場筍盤》 最後機會！有票有驚喜…. 快走！馬上聯絡….,大角咀,柏豐28,中層 B室,610,售 $610 萬元,,421,2房,午山子向,私人屋苑,基本裝修,開揚景|樓景|市景,,中原地產-泓景臺分行,7小時前,https://www.28hse.com/buy/apartment/property-3898481,,,午山子向
【880萬即走】海景兩房】【還價即成】,荔枝角,碧海藍天,5座 中層,880,售 $880 萬元,,497,2房,子山午向,私人屋苑,,,,美聯物業代理有限公司,7小時前,https://www.28hse.com/buy/apartment/property-3898478,,,子山午向
荃灣 麗城花園 | 第二期 1座 高層 H室,荃灣,麗城花園,第二期 1座 高層 H室,720,售 $720 萬元,,668,3房,午山子向,私人屋苑,,,,利嘉閣地產有限公司,7小時前,https://www.28hse.com/buy/apartment/property-3898477,1988,七運,午山子向
真盤實價- 爾巒 特色雙平台兩房,元朗,爾巒,茵羅洛斯大道 6B座 低層 C室,650,售 $650 萬元,,559,2房,卯山酉向,私人屋苑,豪華裝修,山景|開揚景|泳池景,有會所|有露台|連平台,利嘉閣地產有限公司,7小時前,https://www.28hse.com/buy/apartment/property-3898468,,,卯山酉向
—真盤源— 絕不浪費時間# 兩房梗廚# 明火煮食# 企理裝修# 上車首選# 約看,元朗,原築,2座 中層 B室,550,售 $550 萬元,,511,2房,子山午向,私人屋苑,雅緻裝修,開揚景,有會所|有露台,美聯物業,7小時前,https://www.28hse.com/buy/apartment/property-3898465,,,子山午向
映日灣一房真盤 ：罕有海景 4%回報,荃灣,映日灣,2座 低層 I室,598,售 $598 萬元,,280,1房,子山午向,私人屋苑,,,,利嘉閣地產有限公司,7小時前,https://www.28hse.com/buy/apartment/property-3898461,2020,,子山午向
元朗 柏瓏 | I 2座 中層 B3室,元朗,柏瓏,I 2座 中層 B3室,800,售 $800 萬元,,463,2房,子山午向,私人屋苑,雅緻裝修,開揚景,,利嘉閣地產有限公司,7小時前,https://www.28hse.com/buy/apartment/property-3898450,,,子山午向
荃灣 愉景新城 | 3座 低層 A室,荃灣,愉景新城,3座 低層 A室,918,售 $918 萬元,,682,3房,午山子向,私人屋苑,,,,利嘉閣地產有限公司,7小時前,https://www.28hse.com/buy/apartment/property-3898448,1997,七運,午山子向
*東涌物業Jason*優質正南內園兩房！,東涌,東環,1期 3A座 低層,550,售 $550 萬元,,462,2房,子山午向,私人屋苑,,園景|樓景,,東涌物業有限公司,7小時前,https://www.28hse.com/buy/apartment/property-2681359,2017,,子山午向
真盤實價約睇，商場上蓋$828萬開揚三房套廁,元朗,峻巒,1B(PARK YOHO VENEZIA) 6A座 低層 D室,848,售 $848 萬元,,724,3房,午山子向,私人屋苑,雅緻裝修,開揚景,,利嘉閣地產有限公司,7小時前,https://www.28hse.com/buy/apartment/property-3898442,,,午山子向
市場罕有 海景優質 1萬8一呎 2房 實客可約,荔枝角,碧海藍天,3座 中層 G室,920,售 $920 萬元,,494,2房,子山午向,私人屋苑,雅緻裝修,海景,,利嘉閣地產有限公司,8小時前,https://www.28hse.com/buy/apartment/property-3898437,,,子山午向
"【真盤源】入場平價,回報高,升值快,可約睇",屯門,Novo Land,1A期 Elverum 1座 高層,308,售 $308 萬元 +,,235,開放式,乾山巽向,私人屋苑,,,,利嘉閣地產有限公司,8小時前,https://www.28hse.com/buy/apartment/property-3898430,,,乾山巽向
(晉誠地產筍盤推介) 西南青馬橋海景！《向山價錢買向海》 未係底價！歡迎查詢！,深井(荃灣),浪翠園,3座 低層 B室,450,售 $450 萬元,,454,2房,子山午向,私人屋苑,,海景|泳池景,有會所,晉誠地產代理有限公司,8小時前,https://www.28hse.com/buy/apartment/property-3898411,,,子山午向
（晉誠地產YouTube有片 ) 罕有汀九向海洋房！連3車位！大花園！有匙即看！,深井(荃灣),觀海別墅,獨立屋 全幢,2488,"售 $2,488 萬元",,1931,4房,子山午向,獨立屋,,海景,連天台|室內車位,晉誠地產代理有限公司,9小時前,https://www.28hse.com/buy/apartment/property-3898400,,,子山午向
真盤源 即走市中心有裝修筍盤!!,屯門,屯門市廣場,2座 高層,390,售 $390 萬元,,326,2房,卯山酉向,私人屋苑,雅緻裝修,開揚景,,美聯物業,17小時前,https://www.28hse.com/buy/apartment/property-3898364,1987,七運,卯山酉向
上水 皇府山 | 8座 低層 A室,上水,皇府山,8座 低層 A室,813,售 $813 萬元,,791,3房,乾山巽向,私人屋苑,雅緻裝修,園景|開揚景,,美聯物業,18小時前,https://www.28hse.com/buy/apartment/property-3898346,,,乾山巽向
美聯KC推介 企理裝兩用筍盤 自住放租皆宜 有匙引看,青衣,海悅花園,3座 低層 F室,480,售 $480 萬元,,431,2房,子山午向,居屋,,,,美聯物業,18小時前,https://www.28hse.com/buy/apartment/property-3898342,1991,,子山午向
上水 皇府山 | 6座 中層 C室,上水,皇府山,6座 中層 C室,898,售 $898 萬元,,731,3房,子山午向,私人屋苑,雅緻裝修,,VR,中原地產代理有限公司,18小時前,https://www.28hse.com/buy/apartment/property-3898336,,,子山午向
【100%實盤。瓏門。2房 真盤源】 罕有高層開揚景觀｜業主割愛,屯門,瓏門,第一期 第5座 高層 C室,715,售 $715 萬元,,488,2房,卯山酉向,私人屋苑,,,,美聯物業代理有限公司,19小時前,https://www.28hse.com/buy/apartment/property-3898309,2013,八運,卯山酉向
100%真盤 新鴻基兩房 大型會所花園,元朗,峻巒,2A(PARK YOHO Genova) 12座 低層 D室,688,售 $688 萬元,,583,2房,卯山酉向,私人屋苑,,,,利嘉阁,19小時前,https://www.28hse.com/buy/apartment/property-3898308,,,卯山酉向
1 浴室 向西南 私人屋苑 望園景 望泳池景 雅緻裝修,荃灣,立坊,低層 08室,638,售 $638 萬元,,429,,子山午向,私人屋苑,雅緻裝修,園景|泳池景,,美聯物業,19小時前,https://www.28hse.com/buy/apartment/property-3898288,,,子山午向
荃灣 柏傲灣 | 2座2B 低層 C室,荃灣,柏傲灣,2座2B 低層 C室,900,售 $900 萬元,,499,2房,午山子向,私人屋苑,雅緻裝修,開揚景|市景,,美聯物業,20小時前,https://www.28hse.com/buy/apartment/property-3898281,2019,,午山子向
青衣 盈翠半島 | 2座 中層 C室,青衣,盈翠半島,2座 中層 C室,1480,"售 $1,480 萬元",,756,4房,乾山巽向,私人屋苑,雅緻裝修,海景,獨家盤,美聯物業,20小時前,https://www.28hse.com/buy/apartment/property-3898280,2000,,乾山巽向
元朗 The YOHO Hub | C期 8座 中層 B室,元朗,The YOHO Hub,C期 8座 中層 B室,830,售 $830 萬元,,436,2房,卯山酉向,私人屋苑,,,,美聯物業,20小時前,https://www.28hse.com/buy/apartment/property-3898278,,,卯山酉向
即時實盤＊大兩盤有裝修＊有匙引看 最後機會,青衣,海欣花園,3座 高層 H室,678,售 $678 萬元,,507,2房,子山午向,私人屋苑,雅緻裝修,,,美聯物業代理有限公司,20小時前,https://www.28hse.com/buy/apartment/property-3898270,2000,,子山午向
【高層開揚 硬廚兩房】【筍盤推介】,荃灣,海之戀,‧愛炫美 5C座 高層 C室,1028,"售 $1,028 萬元",,531,2房,卯山酉向,私人屋苑,,開揚景,,美聯物業,20小時前,https://www.28hse.com/buy/apartment/property-3898269,2018,,卯山酉向
超筍盤 2房 570萬 歡迎約睇,元朗,爾巒,菲利提諾大道 7座 低層 C室,572,售 $572 萬元,,466,2房,午山子向,私人屋苑,,園景|樓景,,利嘉閣,20小時前,https://www.28hse.com/buy/apartment/property-3898268,,,午山子向
真實盤源收票即成$780萬即住即收租,元朗,柏瓏,II 9座 低層 B2室,798,售 $798 萬元,,455,2房,午山子向,私人屋苑,,,,利嘉閣地產有限公司,20小時前,https://www.28hse.com/buy/apartment/property-3898264,,,午山子向
駿景園搵到豪裝，仲係樓王向東南馬場！快來查詢,火炭,駿景園,8座 高層 F室,1390,"售 $1,390 萬元",,974,3房,乾山巽向,私人屋苑,豪華裝修,山景|開揚景|河景,,美聯物業,20小時前,https://www.28hse.com/buy/apartment/property-3898252,1996,七運,乾山巽向
《中原最齊盤》●●最荀兩房【靚裝即住】梗廚明廁｜還價即成,荃灣,環宇海灣,第8座 中層 D室,700,售 $700 萬元,,482,2房,午山子向,私人屋苑,,,,中原地產,20小時前,https://www.28hse.com/buy/apartment/property-3898251,,,午山子向
天水圍 天頌苑 | O座 ( 頌棋閣 ) 中層 3室,天水圍,天頌苑,O座 ( 頌棋閣 ) 中層 3室,488,售 $488 萬元,,596,3房,子山午向,居屋,,,,中原地產,21小時前,https://www.28hse.com/buy/apartment/property-3898227,1999,七運,子山午向
**抵**最平2房**新鴻基樓盤,天水圍,Wetland Seasons Park,第2期 18座 中層,498,售 $498 萬元,,414,2房,子山午向,私人屋苑,雅緻裝修,園景,VR,中原地產,21小時前,https://www.28hse.com/buy/apartment/property-3898225,,,子山午向
美聯推介～1座單邊樓皇～市鎮公園景～優質兩房,青衣,青怡花園,1座 低層 E室,490,售 $490 萬元,,343,2房,乾山巽向,私人屋苑,雅緻裝修,市景,有會所|近地鐵站|近大型商場|優質校網,美聯物業,21小時前,https://www.28hse.com/buy/apartment/property-3898223,1986,,乾山巽向
天水圍 嘉湖山莊 | 第7期(景湖居) 9座 低層 C室,天水圍,嘉湖山莊,第7期(景湖居) 9座 低層 C室,500,售 $500 萬元,,546,3房,乾山巽向,私人屋苑,,,,中原地產,21小時前,https://www.28hse.com/buy/apartment/property-3898222,1992,七運,乾山巽向
最筍，開揚2房，開廚，光廁，實盤約睇,白石角,嘉熙,3座 高層,670,售 $670 萬元,,455,2房,午山子向,私人屋苑,雅緻裝修,開揚景,有會所|優質校網|有露台,美聯物業代理有限公司,21小時前,https://www.28hse.com/buy/apartment/property-3898220,,,午山子向
【罕有放售】3房+儲物室│極高層開揚景觀 │誠意放售│歡迎即時約睇,青衣,灝景灣,1座 高層,1320,"售 $1,320 萬元",,826,3房,丑山未向,私人屋苑,,,,利嘉閣地產有限公司,21小時前,https://www.28hse.com/buy/apartment/property-3898208,1998,七運,丑山未向
東鐵沿線站頂半新樓 實盤約睇 還價即成,火炭,星凱堤岸,5座 低層,958,售 $958 萬元,,492,2房,子山午向,私人屋苑,豪華裝修,山景|開揚景|市景,有會所|有露台,美聯物業,21小時前,https://www.28hse.com/buy/apartment/property-3898201,,,子山午向
【絕對真盤】全場最低價│翠綠山景│方正實用│歡迎即時約睇,青衣,曉峰園,2座 低層,620,售 $620 萬元,,546,2房,午山子向,私人屋苑,,,,利嘉閣地產有限公司,21小時前,https://www.28hse.com/buy/apartment/property-3898183,1995,,午山子向
真盤源 還價即成 企理三房 歡迎約睇,沙田,沙田第一城,1期 9座 中層 A室,638,售 $638 萬元,,451,3房,乾山巽向,私人屋苑,,,,利嘉閣地產有限公司,22小時前,https://www.28hse.com/buy/apartment/property-3898179,1983,未知,乾山巽向
粉嶺 欣翠花園 | 3座 低層 D室,粉嶺,欣翠花園,3座 低層 D室,650,售 $650 萬元,,657,3房,午山子向,私人屋苑,雅緻裝修,園景|開揚景,,美聯物業,22小時前,https://www.28hse.com/buy/apartment/property-3898173,,,午山子向
海逸業主終極目標 極罕有25座敞門假露台特色單位 全海景 靚裝3房套 可以交吉,紅磡,海逸豪園,翠堤灣 25座 低層,2380,"售 $2,380 萬元",,1100,4房,子山午向,私人屋苑,雅緻裝修,海景,有會所,太陽物業,22小時前,https://www.28hse.com/buy/apartment/property-3898172,1998,,子山午向
【直達奧運站】罕有2房蝕讓，可約睇！,奧運,海桃灣,3座 低層 B室,990,售 $990 萬元,,503,2房,子山午向,私人屋苑,,,有會所|近地鐵站|近大型商場|有露台,美聯物業,22小時前,https://www.28hse.com/buy/apartment/property-3898170,2005,八運,子山午向
屯門(青山公路) 愛琴海岸 | 2 座 低層 B室,屯門(青山公路),愛琴海岸,2 座 低層 B室,870,售 $870 萬元,,811,4房,子山午向,私人屋苑,,海景,室內車位,中原地產代理有限公司,22小時前,https://www.28hse.com/buy/apartment/property-3898153,,,子山午向
屯門(青山公路) 星堤 | 第11座 低層 A室,屯門(青山公路),星堤,第11座 低層 A室,1150,"售 $1,150 萬元",,1142,,乾山巽向,私人屋苑,,園景,室內車位,中原地產代理有限公司,22小時前,https://www.28hse.com/buy/apartment/property-3898149,,,乾山巽向
可租79000包車位。 四房雙套。鄰近何文田地鐵站。三站可到高鐵站,何文田,何文田山畔,2座 高層 A室,3880,"售 $3,880 萬元",,1313,4房,乾山巽向,私人屋苑,,開揚景|市景,室內車位,香港置業,22小時前,https://www.28hse.com/buy/apartment/property-3898140,2016,,乾山巽向
深水埗 九洲大廈 | 低層 D室,深水埗,九洲大廈,低層 D室,318,售 $318 萬元,,254,2房,子山午向,私人屋苑,雅緻裝修,,VR,利嘉閣地產有限公司,22小時前,https://www.28hse.com/buy/apartment/property-3898135,,,子山午向
🩵三月🩵【全場最筍！實用間隔！有票即收！太子站地標！】,太子,別樹華軒,中層,445,售 $445 萬元,,242,1房,乾山巽向,私人屋苑,雅緻裝修,開揚景|樓景|市景,,三月地產,23小時前,https://www.28hse.com/buy/apartment/property-3898123,2003,,乾山巽向
呎價 13xxx 最抵住新鴻基樓 估價697萬,青衣,海欣花園,3座 高層 H室,680,售 $680 萬元,,507,2房,子山午向,私人屋苑,雅緻裝修,園景|市景,,利嘉閣地產有限公司,23小時前,https://www.28hse.com/buy/apartment/property-3898122,2000,,子山午向
屋苑式 | 樓齡新 筍盤勁推*地下單位連泊2車(有充電樁),屋苑式,,樓齡新 筍盤勁推*地下單位連泊2車(有充電樁),648,售 $648 萬元,700,,2房,乾山巽向,村屋,雅緻裝修,開揚景,,永鴻地產代理公司,23小時前,https://www.28hse.com/buy/apartment/property-3898115,,,乾山巽向
罕有地鐵上蓋物業/專貴大戶型/山海環抱/值得豪客擁有...,馬鞍山,銀湖天峰,6座 中層 A室,2500,"售 $2,500 萬元",,1564,4房,子山午向,私人屋苑,豪華裝修,開揚景|海景,VR,中原地產代理有限公司,23小時前,https://www.28hse.com/buy/apartment/property-3898112,2009,,子山午向
670萬 超高層兩房 真盤實價 有匙 即睇 鐵路沿線 明火梗廚,元朗,世宙,第2座 高層 G室,680,售 $680 萬元,,429,2房,卯山酉向,私人屋苑,,,,利嘉閣,23小時前,https://www.28hse.com/buy/apartment/property-3898108,2016,八運,卯山酉向
拒絕假盤 有匙即睇 真心幫你傾價 三房套,元朗,峻巒,1B(PARK YOHO VENEZIA) 6A座 中層 D室,850,售 $850 萬元,,724,3房,午山子向,私人屋苑,,開揚景,,利嘉閣,23小時前,https://www.28hse.com/buy/apartment/property-3898106,,,午山子向
荔枝角 一號西九龍 | 第2座 中層,荔枝角,一號西九龍,第2座 中層,1500,"售 $1,500 萬元",,973,4房,子山午向,私人屋苑,,開揚景,,利嘉閣地產有限公司,23小時前,https://www.28hse.com/buy/apartment/property-3898086,,,子山午向
19/6*奧運收租王*業主割愛 歡迎查詢 另有其他筍盤推介,大角咀,利奧坊首隅,利奧坊．首隅 低層 D室,738,售 $738 萬元,,353,2房,子山午向,私人屋苑,豪華裝修,開揚景,,美聯物業,23小時前,https://www.28hse.com/buy/apartment/property-3898084,,,子山午向
19/6 *最後機會 罕有匙盤*交通便利 收租自住一流 歡迎約睇,旺角,One Soho,中層 A5室,750,售 $750 萬元,,374,2房,午山子向,私人屋苑,豪華裝修,開揚景,,美聯物業,23小時前,https://www.28hse.com/buy/apartment/property-3898075,,,午山子向
"【馬仕程推介】正南海景兩房, 業主FIRM賣, 可約睇",康城,LP6,5座 中層 C室,700,售 $700 萬元,,422,2房,子山午向,私人屋苑,,,,美聯物業代理有限公司,23小時前,https://www.28hse.com/buy/apartment/property-3898074,2020,,子山午向
[真盤員]可以睇樓♡新鴻基♡還有其他一房兩房三房♡,元朗,峻巒,2C(PARK YOHO Milano) 32A座 中層 E室,338,售 $338 萬元,,254,開放式,子山午向,私人屋苑,基本裝修,園景|開揚景|樓景,,美聯物業代理有限公司,23小時前,https://www.28hse.com/buy/apartment/property-3898072,,,子山午向
已改兩房，已補地价，呎价@7000餘元,上水,翠麗花園,6座 中層 C室,438,售 $438 萬元,,591,2房,子山午向,居屋,,,,中原地產代理有限公司,23小時前,https://www.28hse.com/buy/apartment/property-3898060,,,子山午向
上水 彩蒲苑 | 彩顏閣 (D座) 中層,上水,彩蒲苑,彩顏閣 (D座) 中層,308,售 $308 萬元,,351,1房,午山子向,居屋,,,,中原地產,23小時前,https://www.28hse.com/buy/apartment/property-3898057,,,午山子向
試️6XX！靚裝即住，大位易泊。,大埔,嘉豐花園,16座 高層 A室,738,售 $738 萬元,,636,2房,卯山酉向,私人屋苑,雅緻裝修,園景,VR|獨家盤,中原地產代理有限公司,23小時前,https://www.28hse.com/buy/apartment/property-3898054,,,卯山酉向
上水 彩蒲苑 | 彩瑩閣 (A座) 低層 14室,上水,彩蒲苑,彩瑩閣 (A座) 低層 14室,375,售 $375 萬元,,394,2房,乾山巽向,居屋,,,VR,中原地產代理有限公司,23小時前,https://www.28hse.com/buy/apartment/property-3898052,,,乾山巽向
東涌 映灣園 | 3期悅濤軒 9座 高層 B室,東涌,映灣園,3期悅濤軒 9座 高層 B室,820,售 $820 萬元,,749,3房,午山子向,私人屋苑,,開揚景|海景,,美聯物業代理有限公司,23小時前,https://www.28hse.com/buy/apartment/property-3898051,2002,,午山子向
屯門 瓏門 | 第二期 第7座 低層,屯門,瓏門,第二期 第7座 低層,648,售 $648 萬元,,485,2房,卯山酉向,私人屋苑,,開揚景,有會所|近地鐵站|近大型商場|優質校網|有露台,中原地產代理有限公司,23小時前,https://www.28hse.com/buy/apartment/property-3898037,2013,八運,卯山酉向
"**HH**獨家代理, 可試460萬, 相熟業主,淨潔企理，可以約看",沙田,沙田第一城,5期 46座 高層 E室,480,售 $480 萬元,,284,1房,乾山巽向,私人屋苑,,,,利嘉閣地產有限公司,23小時前,https://www.28hse.com/buy/apartment/property-3898033,1983,未知,乾山巽向
平過估價 站頂筍盤最後機會 罕有東南3房放盤！！,大圍,溱岸8號,5座 低層,1360,"售 $1,360 萬元",,729,3房,乾山巽向,私人屋苑,豪華裝修,山景|園景|開揚景|泳池景,有會所|有露台,美聯物業,24小時前,https://www.28hse.com/buy/apartment/property-3898016,2015,,乾山巽向
上水 龍豐花園 | B座 中層 B3室,上水,龍豐花園,B座 中層 B3室,420,售 $420 萬元,,499,2房,午山子向,私人屋苑,,,,中原地產,24小時前,https://www.28hse.com/buy/apartment/property-3898002,,,午山子向
正南海景，特高樓底，市場罕有，有匙即睇,大角咀,利奧坊曉岸,1座 高層 B室,558,售 $558 萬元,,259,1房,子山午向,私人屋苑,,海景,,名城 (九龍) 地產,24小時前,https://www.28hse.com/buy/apartment/property-3897987,,,子山午向
美聯黃小姐推介＊高層向南海景＊＊3房套 優質單位 平價賣 有匙即睇,青衣,盈翠半島,12座 中層 D室,1250,"售 $1,250 萬元",,653,3房,乾山巽向,私人屋苑,,開揚景|海景,,美聯物業代理有限公司,24小時前,https://www.28hse.com/buy/apartment/property-3897985,2000,,乾山巽向
天水圍 嘉湖山莊 | 第7期(景湖居) 7座 低層,天水圍,嘉湖山莊,第7期(景湖居) 7座 低層,498,售 $498 萬元,,550,3房,乾山巽向,私人屋苑,豪華裝修,,,美聯物業,1日前,https://www.28hse.com/buy/apartment/property-3897977,1992,七運,乾山巽向
"筍盤！2房雅緻裝修, 觀景開揚，連接大型購物商場, 靜中帶旺，生活配套齊全!",寶琳,新都城,1期 第一期 1座 中層,615,售 $615 萬元,,364,2房,午山子向,私人屋苑,,園景,,利嘉閣地產有限公司,1日前,https://www.28hse.com/buy/apartment/property-3897968,1996,七運,午山子向
大角咀 i-home | I-HOME 中層 C室,大角咀,i-home,I-HOME 中層 C室,590,售 $590 萬元,,380,1房,子山午向,私人屋苑,,開揚景,,美聯物業代理有限公司,1日前,https://www.28hse.com/buy/apartment/property-3897958,,,子山午向
天水圍 Wetland Seasons Park | 第2期 18座 中層 A5室,天水圍,Wetland Seasons Park,第2期 18座 中層 A5室,498,售 $498 萬元,,414,2房,子山午向,私人屋苑,,園景,,中原地產代理有限公司,1日前,https://www.28hse.com/buy/apartment/property-3897956,,,子山午向
九龍站上蓋，外望內園景，實用3房1套，有匙,九龍站,漾日居,1座 高層,3100,"售 $3,100 萬元",,1076,3房,卯山酉向,私人屋苑,,園景,,迎富地產代理有限公司,1日前,https://www.28hse.com/buy/apartment/property-3897948,,,卯山酉向
※靚裝修即住～～屯馬線上蓋物業※,馬鞍山,新港城,4期 E座 低層 4室,880,售 $880 萬元,,618,3房,午山子向,私人屋苑,豪華裝修,,,世紀21奇豐新港城,1日前,https://www.28hse.com/buy/apartment/property-3897947,1993,,午山子向
嘉湖兩房，本周精選！樓層好，景觀優，價錢筍。,天水圍,嘉湖山莊,第7期(景湖居) 1座 中層 E室,408,售 $408 萬元 +,,446,2房,乾山巽向,私人屋苑,豪華裝修,山景|園景,獨家盤,美聯物業,1日前,https://www.28hse.com/buy/apartment/property-3897942,1992,七運,乾山巽向
小妹推介>超筍大兩房！向南光猛，實盤約睇，業主FIRM賣，有票再有驚喜,長沙灣,The Campton 1B期,The Campton第1B期 低層 H室,800,售 $800 萬元,,515,2房,子山午向,私人屋苑,豪華裝修,,,美聯物業代理有限公司,1日前,https://www.28hse.com/buy/apartment/property-3897938,,,子山午向
大圍 柏傲莊 | II 5B座 低層 A室,大圍,柏傲莊,II 5B座 低層 A室,1558,"售 $1,558 萬元",,668,3房,子山午向,私人屋苑,,,,美聯物業代理有限公司,1日前,https://www.28hse.com/buy/apartment/property-3897916,2022,,子山午向
居高臨下，寬敞大廳，享維港煙花海景,九龍站,凱旋門,2A座 (映月閣) 高層,6500,"售 $6,500 萬元",,1017,3房,乾山巽向,私人屋苑,,海景,,迎富地產代理有限公司,1日前,https://www.28hse.com/buy/apartment/property-3897900,,,乾山巽向
步行鐵路站2分鐘 海景3房兩廁 有匙即睇 v:midland_kaye,馬鞍山,海柏花園,2座 高層 A室,890,售 $890 萬元,,560,3房,子山午向,私人屋苑,雅緻裝修,開揚景|海景,,美聯物業,1日前,https://www.28hse.com/buy/apartment/property-3897894,,,子山午向
【800萬盡試】業主急走【有票必有驚喜】,荔枝角,碧海藍天,5座 高層,838,售 $838 萬元,,510,2房,午山子向,私人屋苑,,,,美聯物業代理有限公司,1日前,https://www.28hse.com/buy/apartment/property-3897889,,,午山子向
【$880大膽試】【極高層兩房單位】【荀貨快走】【即約即睇有匙】,馬鞍山,銀湖天峰,5座 高層 E室,920,售 $920 萬元,,572,2房,子山午向,私人屋苑,,,,中原地產,1日前,https://www.28hse.com/buy/apartment/property-3897888,2009,,子山午向
調景嶺 都會駅 | 1期 1座 低層 D室,調景嶺,都會駅,1期 1座 低層 D室,930,售 $930 萬元,,638,3房,卯山酉向,私人屋苑,,,,中原地產,1日前,https://www.28hse.com/buy/apartment/property-3897881,2006,八運,卯山酉向
荔枝角 碧海藍天 | 6座 中層 F室,荔枝角,碧海藍天,6座 中層 F室,868,售 $868 萬元,,494,2房,子山午向,私人屋苑,,,,中原地產-泓景臺分行,1日前,https://www.28hse.com/buy/apartment/property-3897864,,,子山午向
100%真盤660萬 真明火 約睇 鐵路沿線兩房梗廚 即走盤,元朗,世宙,第2座 高層 G室,670,售 $670 萬元,,429,2房,卯山酉向,私人屋苑,豪華裝修,開揚景|樓景,獨家盤,美聯物業代理有限公司,1日前,https://www.28hse.com/buy/apartment/property-3897845,2016,八運,卯山酉向
【保證實盤】【企理裝修】【出線2房】手怏有,荃灣,環宇海灣,第8座 中層 D室,730,售 $730 萬元,,482,2房,卯山酉向,私人屋苑,雅緻裝修,,,美聯物業,1日前,https://www.28hse.com/buy/apartment/property-3897843,,,卯山酉向
獨家筍盤！近地鐵！山景！梗廚兩房！還價即成！置在必得！企理裝修！拎包入住！,東涌,藍天海岸,第1期 第2座 中層 F室,640,售 $640 萬元,,485,2房,子山午向,私人屋苑,基本裝修,山景|園景|開揚景,有會所|近大型商場,中原地產代理限公司,1日前,https://www.28hse.com/buy/apartment/property-3897827,,,子山午向
性價比最高 真盤可以睇 業主有誠意賣！！！即買即住即收租！,沙田,沙田第一城,5期 48座 高層 D室,478,售 $478 萬元,,304,1房,乾山巽向,私人屋苑,基本裝修,,獨家盤,美聯物業代理有限公司,1日前,https://www.28hse.com/buy/apartment/property-3897824,1983,未知,乾山巽向
鳳凰樓層！梗廚！罕有放盤，可約睇樓！睇岩可傾！,屯門,Novo Land,3A期 Dragor 第2座 高層 H室,660,售 $660 萬元,,498,2房,午山子向,私人屋苑,,,,中原地產代理限公司,1日前,https://www.28hse.com/buy/apartment/property-3897815,,,午山子向
